CODIGOS	DESCRIPCION	Unidad_Primaria
PTSU0006	CACHITO DE PAVO Y QUESO CREMA 130 GR 1 UND	UND
PTSU0008	CACHITO DE MORTADELA 130 GR 1UND	UND
PTSU0012	PAN DE JAMON GRANDE 1 KG 1 UND	UND
PTSU0033	PAN DE DIOS 45 GR 1 UND	UND
PTSU0058	DONA REGULAR CHOCOLATE BLANCO 60 GR 1 UND	UND
PTSU0059	DONA REGULAR MAPPLE 60 GR 1 UND	UND
PTSU0077	MINI CROISSANT CON PISTACHO	UND
PTSU0009	CINNAMON ROLL 95 GR 1 UND	UND
PTSU0010	CINNAMON ROLL CARAMEL PECAN 95 GR 1 UND	UND
PTSU0011	CINNAMON DE MANI Y CHOCOLATE 95 GR 1 UND	UND
PTSU0018	PAN DE A LOCHA 80 GR 1 UND	UND
PTSU0019	CANILLA 240 GR 1 UND	UND
PTSU0023	BAGUETTE 320 GR 1 UND	UND
PTSU0025	DEMI BAGUETTE 140 GR 1 UND	UND
PTSU0028	MINI CROISSANT SIMPLE 1 UND	UND
PTSU0046	CROISSANT SIMPLE 120 GR 1 UND	UND
PTSU0047	CROISSANT CHOCO-LECHE 160 GR 1 UND	UND
PTSU0048	CROISSANT CHOCO-OSCURO 160 GR 1 UND	UND
PTSU0049	HOJALDRE DE MANZANA 160 GR 1 UND	UND
PTSU0051	DONA REGULAR GLASEADA 60 GR 1 UND	UND
PTSU0052	DONA REGULAR CHOCOLATE 60 GR 1 UND	UND
PTSU0053	DONA REGULAR CHOCO CHISPAS 60 GR 1 UND	UND
PTSU0054	DONA REGULAR CHOCO MANI 60 GR 1 UND	UND
PTSU0055	DONA REGULAR VAINILLA 60 GR 1 UND	UND
PTSU0056	DONA REGULAR BERRY GOOD 60 GR 1 UND	UND
PTSU0057	DONA REGULAR PIE DE LIMON 60 GR 1 UND	UND
PTSU0064	MINI DONA REGULAR GLASEADA 30 GR 1 UND	UND
PTSU0065	MINI DONA REGULAR CHOCOLATE 30 GR 1 UND	UND
PTSU0066	MINI DONA REGULAR CHOCO CHISPAS 30 GR 1 UND	UND
PTSU0067	MINI DONA REGULAR CHOCO MANI 30 GR 1 UND	UND
PTSU0068	MINI DONA REGULAR VAINILLA 30 GR 1 UND	UND
PTSU0073	PERLA DE NUTELLA 30 GR 1 UND	UND
PTSU0074	PERLA DE BUFITO 30 GR 1 UND	UND
